category,id,geojson_file,source,year,description,display_name,state,label
city,bidadi,cities/bidadi.geojson,SBM/ramSeraph,,"","Bidadi","Karnataka","Wards"
city,bidar,cities/bidar.geojson,SBM/ramSeraph,,"","Bidar","Karnataka","Wards"
city,bidasar,cities/bidasar.geojson,SBM/ramSeraph,,"","Bidasar","Rajasthan","Wards"
city,bidhannagar,cities/bidhannagar.geojson,WB_AMRUT/ramSeraph,,"","Bidhannagar","West Bengal","Wards"
city,bidhuna,cities/bidhuna.geojson,SBM/ramSeraph,,"","Bidhuna","Uttar Pradesh","Wards"
city,bighapur,cities/bighapur.geojson,SBM/ramSeraph,,"","Bighapur","Uttar Pradesh","Wards"
city,bihar_sharif,cities/bihar_sharif.geojson,LivingAtlas/ramSeraph,,"","Bihar Sharif","Bihar","Wards"
city,biharsharif,cities/biharsharif.geojson,SBM/ramSeraph,,"","Biharsharif","Bihar","Wards"
city,bihat,cities/bihat.geojson,SBM/ramSeraph,,"","Bihat","Bihar","Wards"
city,bihpuria,cities/bihpuria.geojson,SBM/ramSeraph,,"","Bihpuria","Assam","Wards"
city,bijapur_cg,cities/bijapur_cg.geojson,SBM/ramSeraph,,"","Bijapur","Chhattisgarh","Wards"
city,bijapur_ka,cities/bijapur_ka.geojson,SBM/ramSeraph,,"","Bijapur","Karnataka","Wards"
city,bijawar,cities/bijawar.geojson,SBM/ramSeraph,,"","Bijawar","Madhya Pradesh","Wards"
city,bijaynagar,cities/bijaynagar.geojson,SBM/ramSeraph,,"","Bijaynagar","Rajasthan","Wards"
city,bijaypur,cities/bijaypur.geojson,SBM/ramSeraph,,"","Bijaypur","Madhya Pradesh","Wards"
city,bijnor,cities/bijnor.geojson,SBM/ramSeraph,,"","Bijnor","Uttar Pradesh","Wards"
city,bijuri,cities/bijuri.geojson,SBM/ramSeraph,,"","Bijuri","Madhya Pradesh","Wards"
city,bikaner,cities/bikaner.geojson,SBM/ramSeraph,,"","Bikaner","Rajasthan","Wards"
city,bikapur,cities/bikapur.geojson,SBM/ramSeraph,,"","Bikapur","Uttar Pradesh","Wards"
city,bilaigarh,cities/bilaigarh.geojson,SBM/ramSeraph,,"","Bilaigarh","Chhattisgarh","Wards"
city,bilara,cities/bilara.geojson,SBM/ramSeraph,,"","Bilara","Rajasthan","Wards"
city,bilari,cities/bilari.geojson,SBM/ramSeraph,,"","Bilari","Uttar Pradesh","Wards"
city,bilasipara,cities/bilasipara.geojson,SBM/ramSeraph,,"","Bilasipara","Assam","Wards"
city,bilaspur_cg,cities/bilaspur_cg.geojson,SBM/ramSeraph,,"","Bilaspur","Chhattisgarh","Wards"
city,bilaspur_hp,cities/bilaspur_hp.geojson,SBM/ramSeraph,,"","Bilaspur","Himachal Pradesh","Wards"
city,bilaspur_up,cities/bilaspur_up.geojson,SBM/ramSeraph,,"","Bilaspur","Uttar Pradesh","Wards"
city,bilaua,cities/bilaua.geojson,SBM/ramSeraph,,"","Bilaua","Madhya Pradesh","Wards"
city,bilga,cities/bilga.geojson,SBM/ramSeraph,,"","Bilga","Punjab","Wards"
city,bilgi,cities/bilgi.geojson,SBM/ramSeraph,,"","Bilgi","Karnataka","Wards"
city,bilgram,cities/bilgram.geojson,SBM/ramSeraph,,"","Bilgram","Uttar Pradesh","Wards"
city,bilha,cities/bilha.geojson,SBM/ramSeraph,,"","Bilha","Chhattisgarh","Wards"
city,bilhaur,cities/bilhaur.geojson,SBM/ramSeraph,,"","Bilhaur","Uttar Pradesh","Wards"
city,billawar,cities/billawar.geojson,SBM/ramSeraph,,"","Billawar","Jammu & Kashmir","Wards"
city,bilram,cities/bilram.geojson,SBM/ramSeraph,,"","Bilram","Uttar Pradesh","Wards"
city,bilsanda,cities/bilsanda.geojson,SBM/ramSeraph,,"","Bilsanda","Uttar Pradesh","Wards"
city,bilsi,cities/bilsi.geojson,SBM/ramSeraph,,"","Bilsi","Uttar Pradesh","Wards"
city,bina_etawa,cities/bina_etawa.geojson,SBM/ramSeraph,,"","Bina Etawa","Madhya Pradesh","Wards"
city,bindki,cities/bindki.geojson,SBM/ramSeraph,,"","Bindki","Uttar Pradesh","Wards"
city,binika,cities/binika.geojson,SBM/ramSeraph,,"","Binika","Odisha","Wards"
city,biramitrapur,cities/biramitrapur.geojson,SBM/ramSeraph,,"","Biramitrapur","Odisha","Wards"
city,birgaon,cities/birgaon.geojson,SBM/ramSeraph,,"","Birgaon","Chhattisgarh","Wards"
city,birsinghpur,cities/birsinghpur.geojson,SBM/ramSeraph,,"","Birsinghpur","Madhya Pradesh","Wards"
city,birur,cities/birur.geojson,SBM/ramSeraph,,"","Birur","Karnataka","Wards"
city,bisharatganj,cities/bisharatganj.geojson,SBM/ramSeraph,,"","Bisharatganj","Uttar Pradesh","Wards"
city,bishrampur_cg,cities/bishrampur_cg.geojson,SBM/ramSeraph,,"","Bishrampur","Chhattisgarh","Wards"
city,bishrampur_jh,cities/bishrampur_jh.geojson,SBM/ramSeraph,,"","Bishrampur","Jharkhand","Wards"
city,bissau,cities/bissau.geojson,SBM/ramSeraph,,"","Bissau","Rajasthan","Wards"
city,bitarwar,cities/bitarwar.geojson,SBM/ramSeraph,,"","Bitarwar","Madhya Pradesh","Wards"
city,bithoor,cities/bithoor.geojson,SBM/ramSeraph,,"","Bithoor","Uttar Pradesh","Wards"
city,bobbili,cities/bobbili.geojson,SBM/ramSeraph,,"","Bobbili","Andhra Pradesh","Wards"
city,bod_uppal,cities/bod_uppal.geojson,SBM/ramSeraph,,"","Bod Uppal","Telangana","Wards"
city,bodhan,cities/bodhan.geojson,SBM/ramSeraph,,"","Bodhan","Telangana","Wards"
city,bodinayakanur,cities/bodinayakanur.geojson,SBM/ramSeraph,,"","Bodinayakanur","Tamil Nadu","Wards"
city,bodla,cities/bodla.geojson,SBM/ramSeraph,,"","Bodla_","Chhattisgarh","Wards"
city,bodri,cities/bodri.geojson,SBM/ramSeraph,,"","Bodri","Chhattisgarh","Wards"
city,bodwad,cities/bodwad.geojson,SBM/ramSeraph,,"","Bodwad","Maharashtra","Wards"
city,boha,cities/boha.geojson,SBM/ramSeraph,,"","Boha","Punjab","Wards"
city,bollaram,cities/bollaram.geojson,SBM/ramSeraph,,"","Bollaram","Telangana","Wards"
city,bommasandra,cities/bommasandra.geojson,SBM/ramSeraph,,"","Bommasandra","Karnataka","Wards"
city,bongaon,cities/bongaon.geojson,WB_AMRUT/ramSeraph,,"","Bongaon","West Bengal","Wards"
city,botad,cities/botad.geojson,SBM/ramSeraph,,"","Botad","Gujarat","Wards"
city,boudhgarh,cities/boudhgarh.geojson,SBM/ramSeraph,,"","Boudhgarh","Odisha","Wards"
city,brahmapur,cities/brahmapur.geojson,SBM/ramSeraph,,"","Brahmapur","Odisha","Wards"
city,brajarajnagar,cities/brajarajnagar.geojson,SBM/ramSeraph,,"","Brajarajnagar","Odisha","Wards"
city,bramhapuri,cities/bramhapuri.geojson,SBM/ramSeraph,,"","Bramhapuri","Maharashtra","Wards"
city,brijmanganj,cities/brijmanganj.geojson,SBM/ramSeraph,,"","Brijmanganj","Uttar Pradesh","Wards"
city,bruhat_bengaluru_mahanagara_palike,cities/bruhat_bengaluru_mahanagara_palike.geojson,SBM/ramSeraph,,"","Bruhat Bengaluru Mahanagara Palike","Karnataka","Wards"
city,budani,cities/budani.geojson,SBM/ramSeraph,,"","Budani","Madhya Pradesh","Wards"
city,budaun,cities/budaun.geojson,SBM/ramSeraph,,"","Budaun","Uttar Pradesh","Wards"
city,budgam,cities/budgam.geojson,SBM/ramSeraph,,"","Budgam","Jammu & Kashmir","Wards"
city,budhana,cities/budhana.geojson,SBM/ramSeraph,,"","Budhana","Uttar Pradesh","Wards"
city,budhlada,cities/budhlada.geojson,SBM/ramSeraph,,"","Budhlada","Punjab","Wards"
city,bugrasi,cities/bugrasi.geojson,SBM/ramSeraph,,"","Bugrasi","Uttar Pradesh","Wards"
city,buguda,cities/buguda.geojson,SBM/ramSeraph,,"","Buguda","Odisha","Wards"
city,bulandshahr,cities/bulandshahr.geojson,LivingAtlas/ramSeraph,,"","Bulandshahr","Uttar Pradesh","Wards"
city,buldana,cities/buldana.geojson,SBM/ramSeraph,,"","Buldana","Maharashtra","Wards"
city,bundi,cities/bundi.geojson,SBM/ramSeraph,,"","Bundi","Rajasthan","Wards"
city,bundu,cities/bundu.geojson,SBM/ramSeraph,,"","Bundu","Jharkhand","Wards"
city,burdwan,cities/burdwan.geojson,WB_AMRUT/ramSeraph,,"","Burdwan","West Bengal","Wards"
city,burhanpur,cities/burhanpur.geojson,SBM/ramSeraph,,"","Burhanpur","Madhya Pradesh","Wards"
city,burhar,cities/burhar.geojson,SBM/ramSeraph,,"","Burhar","Madhya Pradesh","Wards"
city,buxar,cities/buxar.geojson,SBM/ramSeraph,,"","Buxar","Bihar","Wards"
city,buxwaha,cities/buxwaha.geojson,SBM/ramSeraph,,"","Buxwaha","Madhya Pradesh","Wards"
city,byadgi,cities/byadgi.geojson,SBM/ramSeraph,,"","Byadgi","Karnataka","Wards"
city,byasanagar,cities/byasanagar.geojson,SBM/ramSeraph,,"","Byasanagar","Odisha","Wards"
city,canacona_ga,cities/canacona_ga.geojson,SBM/ramSeraph,,"","Canacona","Goa","Wards"
city,canacona_up,cities/canacona_up.geojson,SBM/ramSeraph,,"","Canacona","Uttar Pradesh","Wards"
city,chachodabinaganj,cities/chachodabinaganj.geojson,SBM/ramSeraph,,"","Chachodabinaganj","Madhya Pradesh","Wards"
city,chadachana,cities/chadachana.geojson,SBM/ramSeraph,,"","Chadachana","Karnataka","Wards"
city,chadoora,cities/chadoora.geojson,SBM/ramSeraph,,"","Chadoora","Jammu & Kashmir","Wards"
city,chaibasa,cities/chaibasa.geojson,SBM/ramSeraph,,"","Chaibasa","Jharkhand","Wards"
city,chail,cities/chail.geojson,SBM/ramSeraph,,"","Chail","Uttar Pradesh","Wards"
city,chakan,cities/chakan.geojson,SBM/ramSeraph,,"","Chakan","Maharashtra","Wards"
city,chakardharpur,cities/chakardharpur.geojson,SBM/ramSeraph,,"","Chakardharpur","Jharkhand","Wards"
city,chakghat,cities/chakghat.geojson,SBM/ramSeraph,,"","Chakghat","Madhya Pradesh","Wards"
city,chakia,cities/chakia.geojson,SBM/ramSeraph,,"","Chakia","Uttar Pradesh","Wards"
city,chaksu,cities/chaksu.geojson,SBM/ramSeraph,,"","Chaksu","Rajasthan","Wards"
city,chakur,cities/chakur.geojson,SBM/ramSeraph,,"","Chakur","Maharashtra","Wards"
city,chalakkudy,cities/chalakkudy.geojson,SBM/ramSeraph,,"","Chalakkudy","Kerala","Wards"
city,chalisgaon,cities/chalisgaon.geojson,SBM/ramSeraph,,"","Chalisgaon","Maharashtra","Wards"
city,challakere,cities/challakere.geojson,SBM/ramSeraph,,"","Challakere","Karnataka","Wards"
city,chamba,cities/chamba.geojson,SBM/ramSeraph,,"","Chamba","Himachal Pradesh","Wards"
city,chamkaur_sahib,cities/chamkaur_sahib.geojson,SBM/ramSeraph,,"","Chamkaur Sahib","Punjab","Wards"
city,chamorshi,cities/chamorshi.geojson,SBM/ramSeraph,,"","Chamorshi","Maharashtra","Wards"
city,champa,cities/champa.geojson,SBM/ramSeraph,,"","Champa","Chhattisgarh","Wards"
city,champdani,cities/champdani.geojson,WB_AMRUT/ramSeraph,,"","Champdani","West Bengal","Wards"
city,champua,cities/champua.geojson,SBM/ramSeraph,,"","Champua","Odisha","Wards"
city,chand,cities/chand.geojson,SBM/ramSeraph,,"","Chand","Madhya Pradesh","Wards"
city,chandameta_butaria,cities/chandameta_butaria.geojson,SBM/ramSeraph,,"","Chandameta Butaria","Madhya Pradesh","Wards"
city,chandananagar,cities/chandananagar.geojson,WB_AMRUT/ramSeraph,,"","Chandananagar","West Bengal","Wards"
city,chandapura,cities/chandapura.geojson,SBM/ramSeraph,,"","Chandapura","Karnataka","Wards"
city,chandauli,cities/chandauli.geojson,SBM/ramSeraph,,"","Chandauli","Uttar Pradesh","Wards"
city,chandausi,cities/chandausi.geojson,SBM/ramSeraph,,"","Chandausi","Uttar Pradesh","Wards"
city,chandbali,cities/chandbali.geojson,SBM/ramSeraph,,"","Chandbali","Odisha","Wards"
city,chanderi,cities/chanderi.geojson,SBM/ramSeraph,,"","Chanderi","Madhya Pradesh","Wards"
city,chandgad,cities/chandgad.geojson,SBM/ramSeraph,,"","Chandgad","Maharashtra","Wards"
city,chandia,cities/chandia.geojson,SBM/ramSeraph,,"","Chandia","Madhya Pradesh","Wards"
city,chandkhuri,cities/chandkhuri.geojson,SBM/ramSeraph,,"","Chandkhuri","Chhattisgarh","Wards"
city,chandla,cities/chandla.geojson,SBM/ramSeraph,,"","Chandla","Madhya Pradesh","Wards"
city,chandpur,cities/chandpur.geojson,SBM/ramSeraph,,"","Chandpur","Uttar Pradesh","Wards"
city,chandrapur,cities/chandrapur.geojson,SBM/ramSeraph,,"","Chandrapur","Chhattisgarh","Wards"
city,chandrapur_m,cities/chandrapur_m.geojson,SBM/ramSeraph,,"","Chandrapur_M","Maharashtra","Wards"
city,chandur,cities/chandur.geojson,SBM/ramSeraph,,"","Chandur","Telangana","Wards"
city,chandur_railway,cities/chandur_railway.geojson,SBM/ramSeraph,,"","Chandur Railway","Maharashtra","Wards"
city,chandwad,cities/chandwad.geojson,SBM/ramSeraph,,"","Chandwad","Maharashtra","Wards"
city,changanassery,cities/changanassery.geojson,SBM/ramSeraph,,"","Changanassery","Kerala","Wards"
city,channagiri,cities/channagiri.geojson,SBM/ramSeraph,,"","Channagiri","Karnataka","Wards"
city,channamma_kitturu,cities/channamma_kitturu.geojson,SBM/ramSeraph,,"","Channamma Kitturu","Karnataka","Wards"
city,channapatna,cities/channapatna.geojson,SBM/ramSeraph,,"","Channapatna","Karnataka","Wards"
city,channarayapatna,cities/channarayapatna.geojson,SBM/ramSeraph,,"","Channarayapatna","Karnataka","Wards"
city,chapra,cities/chapra.geojson,SBM/ramSeraph,,"","Chapra","Bihar","Wards"
city,charama,cities/charama.geojson,SBM/ramSeraph,,"","Charama","Chhattisgarh","Wards"
city,charar_i_sharief,cities/charar_i_sharief.geojson,SBM/ramSeraph,,"","Charar-I-Sharief","Jammu & Kashmir","Wards"
city,charkhari,cities/charkhari.geojson,SBM/ramSeraph,,"","Charkhari","Uttar Pradesh","Wards"
city,charthawal,cities/charthawal.geojson,SBM/ramSeraph,,"","Charthawal","Uttar Pradesh","Wards"
city,charwa,cities/charwa.geojson,SBM/ramSeraph,,"","Charwa","Uttar Pradesh","Wards"
city,chas,cities/chas.geojson,SBM/ramSeraph,,"","Chas","Jharkhand","Wards"
city,chatra,cities/chatra.geojson,SBM/ramSeraph,,"","Chatra","Jharkhand","Wards"
city,chaumuhan,cities/chaumuhan.geojson,SBM/ramSeraph,,"","Chaumuhan","Uttar Pradesh","Wards"
city,chavakkad,cities/chavakkad.geojson,SBM/ramSeraph,,"","Chavakkad","Kerala","Wards"
city,cheeka,cities/cheeka.geojson,SBM/ramSeraph,,"","Cheeka","Haryana","Wards"
city,cheema,cities/cheema.geojson,SBM/ramSeraph,,"","Cheema","Punjab","Wards"
city,chengalpattu,cities/chengalpattu.geojson,LivingAtlas/ramSeraph,,"","Chengalpattu","Tamil Nadu","Wards"
city,chennur,cities/chennur.geojson,SBM/ramSeraph,,"","Chennur","Telangana","Wards"
city,cherial,cities/cherial.geojson,SBM/ramSeraph,,"","Cherial","Telangana","Wards"
city,cherpulassery,cities/cherpulassery.geojson,SBM/ramSeraph,,"","Cherpulassery","Kerala","Wards"
city,cherthala,cities/cherthala.geojson,SBM/ramSeraph,,"","Cherthala","Kerala","Wards"
city,chhabra,cities/chhabra.geojson,SBM/ramSeraph,,"","Chhabra","Rajasthan","Wards"
city,chhanera,cities/chhanera.geojson,SBM/ramSeraph,,"","Chhanera","Madhya Pradesh","Wards"
city,chhapar,cities/chhapar.geojson,SBM/ramSeraph,,"","Chhapar","Rajasthan","Wards"
city,chhapara,cities/chhapara.geojson,SBM/ramSeraph,,"","Chhapara","Madhya Pradesh","Wards"
city,chhaprauli,cities/chhaprauli.geojson,SBM/ramSeraph,,"","Chhaprauli","Uttar Pradesh","Wards"
city,chhata,cities/chhata.geojson,SBM/ramSeraph,,"","Chhata","Uttar Pradesh","Wards"
city,chhatari,cities/chhatari.geojson,SBM/ramSeraph,,"","Chhatari","Uttar Pradesh","Wards"
city,chhatarpur,cities/chhatarpur.geojson,SBM/ramSeraph,,"","Chhatarpur","Madhya Pradesh","Wards"
city,chhatrapur,cities/chhatrapur.geojson,SBM/ramSeraph,,"","Chhatrapur","Odisha","Wards"
city,chhibramau,cities/chhibramau.geojson,SBM/ramSeraph,,"","Chhibramau","Uttar Pradesh","Wards"
city,chhindwara,cities/chhindwara.geojson,SBM/ramSeraph,,"","Chhindwara","Madhya Pradesh","Wards"
city,chhuikhadan,cities/chhuikhadan.geojson,SBM/ramSeraph,,"","Chhuikhadan","Chhattisgarh","Wards"
city,chhura,cities/chhura.geojson,SBM/ramSeraph,,"","Chhura","Chhattisgarh","Wards"
city,chhurikala,cities/chhurikala.geojson,SBM/ramSeraph,,"","Chhurikala","Chhattisgarh","Wards"
city,chhuriya,cities/chhuriya.geojson,SBM/ramSeraph,,"","Chhuriya","Chhattisgarh","Wards"
city,chhutmalpura,cities/chhutmalpura.geojson,SBM/ramSeraph,,"","Chhutmalpura","Uttar Pradesh","Wards"
city,chicholi,cities/chicholi.geojson,SBM/ramSeraph,,"","Chicholi","Madhya Pradesh","Wards"
city,chidambaram,cities/chidambaram.geojson,SBM/ramSeraph,,"","Chidambaram","Tamil Nadu","Wards"
city,chikhalakasa,cities/chikhalakasa.geojson,SBM/ramSeraph,,"","Chikhalakasa","Chhattisgarh","Wards"
city,chikhli,cities/chikhli.geojson,SBM/ramSeraph,,"","Chikhli","Maharashtra","Wards"
city,chikiti,cities/chikiti.geojson,SBM/ramSeraph,,"","Chikiti","Odisha","Wards"
city,chikkaballapur,cities/chikkaballapur.geojson,SBM/ramSeraph,,"","Chikkaballapur","Karnataka","Wards"
city,chiknayakanhalli,cities/chiknayakanhalli.geojson,SBM/ramSeraph,,"","Chiknayakanhalli","Karnataka","Wards"
city,chikodi,cities/chikodi.geojson,SBM/ramSeraph,,"","Chikodi","Karnataka","Wards"
city,chilakalurpet,cities/chilakalurpet.geojson,SBM/ramSeraph,,"","Chilakalurpet","Andhra Pradesh","Wards"
city,chilkana_sultanpur,cities/chilkana_sultanpur.geojson,SBM/ramSeraph,,"","Chilkana Sultanpur","Uttar Pradesh","Wards"
city,chimakurthy,cities/chimakurthy.geojson,SBM/ramSeraph,,"","Chimakurthy","Andhra Pradesh","Wards"
city,chimur,cities/chimur.geojson,SBM/ramSeraph,,"","Chimur","Maharashtra","Wards"
city,chinchali,cities/chinchali.geojson,SBM/ramSeraph,,"","Chinchali","Karnataka","Wards"
city,chincholi,cities/chincholi.geojson,SBM/ramSeraph,,"","Chincholi","Karnataka","Wards"
city,chinnamanur,cities/chinnamanur.geojson,SBM/ramSeraph,,"","Chinnamanur","Tamil Nadu","Wards"
city,chintamani,cities/chintamani.geojson,SBM/ramSeraph,,"","Chintamani","Karnataka","Wards"
city,chiplun,cities/chiplun.geojson,SBM/ramSeraph,,"","Chiplun","Maharashtra","Wards"
city,chiraiyakot,cities/chiraiyakot.geojson,SBM/ramSeraph,,"","Chiraiyakot","Uttar Pradesh","Wards"
city,chirala,cities/chirala.geojson,SBM/ramSeraph,,"","Chirala","Andhra Pradesh","Wards"
city,chirawa,cities/chirawa.geojson,SBM/ramSeraph,,"","Chirawa","Rajasthan","Wards"
city,chirimiri,cities/chirimiri.geojson,SBM/ramSeraph,,"","Chirimiri","Chhattisgarh","Wards"
city,chirkunda,cities/chirkunda.geojson,SBM/ramSeraph,,"","Chirkunda","Jharkhand","Wards"
city,chitbara_gaon,cities/chitbara_gaon.geojson,SBM/ramSeraph,,"","Chitbara Gaon","Uttar Pradesh","Wards"
city,chitradurga,cities/chitradurga.geojson,SBM/ramSeraph,,"","Chitradurga","Karnataka","Wards"
city,chitrakoot,cities/chitrakoot.geojson,SBM/ramSeraph,,"","Chitrakoot","Madhya Pradesh","Wards"
city,chitrakoot_dham,cities/chitrakoot_dham.geojson,SBM/ramSeraph,,"","Chitrakoot_Dham","Uttar Pradesh","Wards"
city,chittaguppa,cities/chittaguppa.geojson,SBM/ramSeraph,,"","Chittaguppa","Karnataka","Wards"
city,chittapur,cities/chittapur.geojson,SBM/ramSeraph,,"","Chittapur","Karnataka","Wards"
city,chittaurgarh,cities/chittaurgarh.geojson,SBM/ramSeraph,,"","Chittaurgarh","Rajasthan","Wards"
city,chittoor,cities/chittoor.geojson,SBM/ramSeraph,,"","Chittoor","Andhra Pradesh","Wards"
city,chittur_thathamangalam,cities/chittur_thathamangalam.geojson,SBM/ramSeraph,,"","Chittur-Thathamangalam","Kerala","Wards"
city,chomu,cities/chomu.geojson,SBM/ramSeraph,,"","Chomu","Rajasthan","Wards"
city,choppandandi,cities/choppandandi.geojson,SBM/ramSeraph,,"","Choppandandi","Telangana","Wards"
city,chorai,cities/chorai.geojson,SBM/ramSeraph,,"","Chorai","Madhya Pradesh","Wards"
city,choudwar,cities/choudwar.geojson,SBM/ramSeraph,,"","Choudwar","Odisha","Wards"
city,choutuppal,cities/choutuppal.geojson,SBM/ramSeraph,,"","Choutuppal","Telangana","Wards"
city,chowk,cities/chowk.geojson,SBM/ramSeraph,,"","Chowk","Uttar Pradesh","Wards"
city,chunar,cities/chunar.geojson,SBM/ramSeraph,,"","Chunar","Uttar Pradesh","Wards"
city,churhat,cities/churhat.geojson,SBM/ramSeraph,,"","Churhat","Madhya Pradesh","Wards"
city,churk_ghurma,cities/churk_ghurma.geojson,SBM/ramSeraph,,"","Churk Ghurma","Uttar Pradesh","Wards"
city,churu,cities/churu.geojson,SBM/ramSeraph,,"","Churu","Rajasthan","Wards"
city,ckotpad,cities/ckotpad.geojson,SBM/ramSeraph,,"","Ckotpad","Odisha","Wards"
city,cmc_chamajanagar,cities/cmc_chamajanagar.geojson,SBM/ramSeraph,,"","Cmc Chamajanagar","Karnataka","Wards"
city,colachel,cities/colachel.geojson,SBM/ramSeraph,,"","Colachel","Tamil Nadu","Wards"
city,coonoor,cities/coonoor.geojson,SBM/ramSeraph,,"","Coonoor","Tamil Nadu","Wards"
city,cumbum,cities/cumbum.geojson,SBM/ramSeraph,,"","Cumbum","Tamil Nadu","Wards"
city,cuncolim,cities/cuncolim.geojson,SBM/ramSeraph,,"","Cuncolim","Goa","Wards"
city,cuttack,cities/cuttack.geojson,SBM/ramSeraph,,"","Cuttack","Odisha","Wards"
city,dabhara,cities/dabhara.geojson,SBM/ramSeraph,,"","Dabhara","Chhattisgarh","Wards"
city,dabhoura,cities/dabhoura.geojson,SBM/ramSeraph,,"","Dabhoura","Madhya Pradesh","Wards"
city,daboh,cities/daboh.geojson,SBM/ramSeraph,,"","Daboh","Madhya Pradesh","Wards"
city,dabra,cities/dabra.geojson,SBM/ramSeraph,,"","Dabra","Madhya Pradesh","Wards"
city,dahi,cities/dahi.geojson,SBM/ramSeraph,,"","Dahi","Madhya Pradesh","Wards"
city,dahiwadi,cities/dahiwadi.geojson,SBM/ramSeraph,,"","Dahiwadi","Maharashtra","Wards"
city,dala_bazar,cities/dala_bazar.geojson,SBM/ramSeraph,,"","Dala Bazar","Uttar Pradesh","Wards"
city,dallirajhara,cities/dallirajhara.geojson,SBM/ramSeraph,,"","Dallirajhara","Chhattisgarh","Wards"
city,dalmiya_nagar,cities/dalmiya_nagar.geojson,SBM/ramSeraph,,"","Dalmiya Nagar","Bihar","Wards"
city,damoh,cities/damoh.geojson,SBM/ramSeraph,,"","Damoh","Madhya Pradesh","Wards"
city,danapur,cities/danapur.geojson,SBM/ramSeraph,,"","Danapur","Bihar","Wards"
city,dandeli,cities/dandeli.geojson,SBM/ramSeraph,,"","Dandeli","Karnataka","Wards"
city,dankaur,cities/dankaur.geojson,SBM/ramSeraph,,"","Dankaur","Uttar Pradesh","Wards"
city,dantewada,cities/dantewada.geojson,SBM/ramSeraph,,"","Dantewada","Chhattisgarh","Wards"
city,dapoli,cities/dapoli.geojson,SBM/ramSeraph,,"","Dapoli","Maharashtra","Wards"
city,daranagar,cities/daranagar.geojson,SBM/ramSeraph,,"","Daranagar","Uttar Pradesh","Wards"
city,darbhanga,cities/darbhanga.geojson,SBM/ramSeraph,,"","Darbhanga","Bihar","Wards"
city,dariyabad,cities/dariyabad.geojson,SBM/ramSeraph,,"","Dariyabad","Uttar Pradesh","Wards"
city,dasna,cities/dasna.geojson,SBM/ramSeraph,,"","Dasna","Uttar Pradesh","Wards"
city,dasua,cities/dasua.geojson,SBM/ramSeraph,,"","Dasua","Punjab","Wards"
city,datia,cities/datia.geojson,SBM/ramSeraph,,"","Datia","Madhya Pradesh","Wards"
city,daund,cities/daund.geojson,SBM/ramSeraph,,"","Daund","Maharashtra","Wards"
city,daundilohara,cities/daundilohara.geojson,SBM/ramSeraph,,"","Daundilohara","Chhattisgarh","Wards"
city,daurala,cities/daurala.geojson,SBM/ramSeraph,,"","Daurala","Uttar Pradesh","Wards"
city,dausa,cities/dausa.geojson,SBM/ramSeraph,,"","Dausa","Rajasthan","Wards"
city,davanagere,cities/davanagere.geojson,SBM/ramSeraph,,"","Davanagere","Karnataka","Wards"
city,dayalbagh,cities/dayalbagh.geojson,SBM/ramSeraph,,"","Dayalbagh","Uttar Pradesh","Wards"
city,deeg,cities/deeg.geojson,SBM/ramSeraph,,"","Deeg","Rajasthan","Wards"
city,deesa,cities/deesa.geojson,SBM/ramSeraph,,"","Deesa","Gujarat","Wards"
city,deglur,cities/deglur.geojson,SBM/ramSeraph,,"","Deglur","Maharashtra","Wards"
city,dehradun,cities/dehradun.geojson,SBM/ramSeraph,,"","Dehradun","Uttarakhand","Wards"
city,dehu,cities/dehu.geojson,SBM/ramSeraph,,"","Dehu","Maharashtra","Wards"
city,deoband,cities/deoband.geojson,SBM/ramSeraph,,"","Deoband","Uttar Pradesh","Wards"
city,deogarh_od,cities/deogarh_od.geojson,SBM/ramSeraph,,"","Deogarh","Odisha","Wards"
city,deogarh_rj,cities/deogarh_rj.geojson,SBM/ramSeraph,,"","Deogarh","Rajasthan","Wards"
city,deoghar,cities/deoghar.geojson,SBM/ramSeraph,,"","Deoghar","Jharkhand","Wards"
city,deokar,cities/deokar.geojson,SBM/ramSeraph,,"","Deokar","Chhattisgarh","Wards"
city,deola,cities/deola.geojson,SBM/ramSeraph,,"","Deola","Maharashtra","Wards"
city,deoli_mh,cities/deoli_mh.geojson,SBM/ramSeraph,,"","Deoli","Maharashtra","Wards"
city,deoli_rj,cities/deoli_rj.geojson,SBM/ramSeraph,,"","Deoli","Rajasthan","Wards"
city,deoni,cities/deoni.geojson,SBM/ramSeraph,,"","Deoni","Maharashtra","Wards"
city,deoranian,cities/deoranian.geojson,SBM/ramSeraph,,"","Deoranian","Uttar Pradesh","Wards"
city,deori,cities/deori.geojson,SBM/ramSeraph,,"","Deori","Madhya Pradesh","Wards"
city,dera_baba_nanak,cities/dera_baba_nanak.geojson,SBM/ramSeraph,,"","Dera Baba Nanak","Punjab","Wards"
city,dera_bassi,cities/dera_bassi.geojson,SBM/ramSeraph,,"","Dera Bassi","Punjab","Wards"
city,dergaon_mb,cities/dergaon_mb.geojson,SBM/ramSeraph,,"","Dergaon Mb","Assam","Wards"
city,derwa_bazar,cities/derwa_bazar.geojson,SBM/ramSeraph,,"","Derwa Bazar","Uttar Pradesh","Wards"
city,desaiganj,cities/desaiganj.geojson,SBM/ramSeraph,,"","Desaiganj","Maharashtra","Wards"
city,deshnok,cities/deshnok.geojson,SBM/ramSeraph,,"","Deshnok","Rajasthan","Wards"
